#,Name,T,V,T,V,T,V,T,V
1,Arsanar,1,6,2,6,2,0,4,0
2,Brin,2,6,3,6,1,0,3,6
3,Марк Карк,3,0,22,6,5,6,5,6
4,Voron,4,0,10,6,6,6,2,0
5,Роман Евсеев,5,0,9,6,5,0,7,0
6,Анатолий Коновалов,6,4,7,6,4,0,6,6
7,Константин Кручинин,7,6,1,0,4,6,3,0
8,Евгений Сафронов,8,0,9,0,10,0,22,0
9,Zlodeitch,9,0,7,0,9,4,10,0
10,Артем Анпилогов,10,0,10,0,22,6,8,0
11,Сергей Сапожков,10,6,4,6,3,6,2,6
12,Artur Diodand,9,6,1,6,1,6,1,6
13,Nevar,8,6,3,0,7,0,9,0
14,Павел Кузнецов,7,0,6,0,9,4,9,6
15,Ramirti,6,4,6,6,3,0,5,0
16,Алексей Смышляев,5,6,4,0,7,6,4,6
17,Дмитрий Точенов,4,6,5,6,2,6,1,0
18,Петр Федин,3,6,5,0,8,0,10,6
19,Виктор Нелипович,2,0,8,6,8,6,6,0
20,Paladinlord,1,0,8,0,10,6,8,6
21,Good,22,6,2,0,6,0,7,4
