#,Name,Faction,T,V,T,V,T,V
1,Александр Алексеев,моллог,1,3,4,0,6,1
2,Анатолий Коновалов,волки,6,3,4,3,2,1
3,Анна Мельникова,призраки,6,0,8,3,3,3
4,Антон Чичеткин,парогномы,8,0,5,3,5,0
5,Ася Шестова,риверы,2,0,6,0,7,0
6,Данила Антонов,скелеты,4,0,6,3,6,1
7,Евгений Овчинников,маги,8,3,1,0,4,0
8,Евгений Сафронов,гули,4,3,2,1,2,1
9,Константин Кручинин,гули,3,0,7,3,4,3
10,Леонид Овчинников,козлы,5,0,5,0,7,3
11,Максим Оргиец,илтари,7,0,7,0,8,1
12,Михаил Соколов,парогномы,2,3,2,1,3,0
13,Максим Яцык,орки,1,0,8,0,8,1
14,Никита Чикулаев,козлы,5,3,1,3,1,0
15,Павел Кузнецов,баньши,7,3,3,0,5,3
16,Петр Федин,призраки,3,3,3,3,1,3
