#,Name,Faction,T,V,T,V,T,V
1,Антон Корнаков,крысы,7,1,5,3,3,0
2,Анна Мельникова,призраки,4,3,2,0,4,1
3,Алексей Смышляев,маги,5,3,2,3,1,0
4,Александр Оводков,стилхарты,6,0,7,0,6,3
5,Андрей Оводков,магоры,7,1,7,3,2,0
6,Владимир Владимирович,орки,4,0,6,3,5,3
7,Иван Марков,моллог,5,0,4,3,4,1
8,Мирон Андреев,риверы,1,0,6,0,7,0
9,Михаил Ковальков,орки,3,0,5,0,6,0
10,Максим Оргиец,призраки,6,3,3,0,5,0
11,Nevar,гномы,2,0,4,0,7,3
12,Никита Чикулаев,страйдеры,3,3,1,0,3,3
13,Петр Федин,призраки,2,3,1,3,2,3
14,Константин Кручинин,моллог,1,3,3,3,1,3
