#,Name,T,V,T,V,T,V,T,V
1,Александр Каревский,3,3,4,0,6,3,4,0
2,Александр Кутлин,10,0,9,3,7,0,8,0
3,Александр Оводков,3,0,7,3,8,3,5,0
4,Александр Петрив,2,0,8,3,5,3,3,3
5,Владимир Владимирович,2,3,3,3,2,0,5,3
6,Виталий Кривошеев,9,0,10,0,8,0,26,0
7,Данила Антонов,9,3,1,0,3,0,6,0
8,Дмитрий Точенов,6,3,4,3,2,3,1,3
9,Денис Ульмаев,7,0,6,0,9,0,9,0
10,Arsanar,1,0,10,3,4,1,6,3
11,Илья Кордонец,5,0,9,0,10,1,9,3
12,Иван Марков,5,3,2,0,5,0,7,3
13,Мирон Андреев,8,0,8,0,9,3,8,3
14,Максим Каревский,10,3,2,3,1,0,2,0
15,Михаил Ковальков,7,3,5,0,7,3,3,0
16,Павел Аленчев,8,3,3,0,6,0,7,0
17,Петр Федин,4,1,5,3,4,1,4,3
18,Роман Евсеев,1,3,1,3,1,3,1,0
19,Стас Водолазский,6,0,7,0,10,1,39,0
20,Сергей Шевелев,4,1,6,3,3,3,2,3
