#,Name,Faction,T,V,T,V,T,V,T,V
1,Александр Каревский,магоры,3,3,4,0,6,3,4,0
2,Александр Кутлин,орки,10,0,9,3,7,0,8,0
3,Александр Оводков,скелеты,3,0,7,3,8,3,5,0
4,Александр Петрив,магоры,2,0,8,3,5,3,3,3
5,Владимир Владимирович,орки,2,3,3,3,2,0,5,3
6,Виталий Кривошеев,гоблины,9,0,10,0,8,0,26,0
7,Данила Антонов,риверы,9,3,1,0,3,0,6,0
8,Дмитрий Точенов,стилхарты,6,3,4,3,2,3,1,3
9,Денис Ульмаев,магоры,7,0,6,0,9,0,9,0
10,Arsanar,годсворн,1,0,10,3,4,1,6,3
11,Илья Кордонец,орки,5,0,9,0,10,1,9,3
12,Иван Марков,моллог,5,3,2,0,5,0,7,3
13,Мирон Андреев,гоблины,8,0,8,0,9,3,8,3
14,Максим Каревский,моллог,10,3,2,3,1,0,2,0
15,Михаил Ковальков,гоблины,7,3,5,0,7,3,3,0
16,Павел Аленчев,магоры,8,3,3,0,6,0,7,0
17,Петр Федин,призраки,4,1,5,3,4,1,4,3
18,Роман Евсеев,илтари,1,3,1,3,1,3,1,0
19,Стас Водолазский,маги,6,0,7,0,10,1,39,0
20,Сергей Шевелев,маги,4,1,6,3,3,3,2,3
